control,mode,seed,observer,mg_all,mg_first,mg_second,rough_all,acorr_all,prd_all,spec_all,traj_PR,n_windows
obs_scale,qp,3,c_proj1,5.418855285513983,5.415462826158102,5.421907779698284,0.6284173444085117,2.0,4.5038392263419365,8.525623044167236,3.9998114032661167,8
obs_scale,qp,3,fn_proj1,5.739324154325162,5.74009333486178,5.739324154325162,0.4682384095747901,3.0,4.190446902784881,4.198286036234178,3.9998114032661167,8
obs_scale,qp,3,margin,6.540310199195321,6.541880761723105,6.538304176748968,0.5143966119092052,3.0,2.6714504288720917,1.6040713732976404,3.9998114032661167,8
obs_scale,qp,3,acc_probe,5.249969648369049,5.281488667477012,5.2414153271625,1.0288947470163852,2.0,16.20428792332992,54.60493105438296,3.9998114032661167,8
obs_scale,qp,4,loss_step,6.0880936962343775,6.089597859851483,6.088008985994064,0.5630033710365479,3.0,3.5729543245857966,2.393465583260083,3.9995552914827055,8
obs_scale,qp,4,loss_full,7.860686264550576,7.887931286453629,7.849368205996905,1.0280182352795413,2.0,9.717004554528186,9.432175441503869,3.9995552914827055,8
obs_scale,qp,4,loss_probe,6.603843773452185,6.603843773452185,6.6056676930608305,0.5636729728233982,3.0,3.2641812676887705,2.153593139688896,3.9995552914827055,8
obs_scale,qp,4,w_fro,6.061287400764229,6.061287400764229,6.060514647082144,0.6696905689529544,2.0,4.392178639372522,7.949273824092151,3.9995552914827055,8
obs_scale,qp,4,c_norm,6.061322335860559,6.061322335860559,6.06057518124412,0.6696959849919226,2.0,4.3919528985079435,7.948876401369274,3.9995552914827055,8
obs_scale,qp,4,fn_fro,6.047585005244477,6.047585005244477,6.047634120792219,0.6129433191715747,2.0,3.8276900259031024,4.420284318081443,3.9995552914827055,8
obs_scale,qp,4,g_fro,6.7333906275539475,6.737901139199427,6.730963697180318,1.0415026595184984,2.0,10.818693739237531,10.238740090536595,3.9995552914827055,8
obs_scale,qp,4,g_proj,5.796131631006811,5.796131631006811,5.795755165605042,0.590396763888051,3.0,5.6044049584596545,4.730134242726604,3.9995552914827055,8
obs_scale,qp,4,c_proj1,4.659291870522959,4.657926339287089,4.660367505043334,0.6686577771910462,2.0,2.614560735805655,3.9267003127801923,3.9995552914827055,8
obs_scale,qp,4,fn_proj1,6.981048349877311,6.9803520170073465,6.982821077708213,0.6424253964668412,2.0,3.851585836019331,5.685453821017532,3.9995552914827055,8
obs_scale,qp,4,margin,5.394910119971339,5.389086984242322,5.403246054989711,0.5899696133825978,3.0,4.887637632003557,8.436414247100734,3.9995552914827055,8
obs_scale,qp,4,acc_probe,4.7654047015597385,4.779774242963333,4.703060606959266,0.7629968856066655,2.0,3.8486437232747717,2.4544011758384014,3.9995552914827055,8
amp_ramp,qp,0,loss_step,5.598868306997932,5.720999291288074,5.484561190932372,0.7479962685724161,2.0,2.3784563376289065,4.928936696522191,3.487773710759964,8
amp_ramp,qp,0,loss_full,7.4830492650237534,7.530294644014399,7.4830492650237534,0.7175822985796941,2.0,11.765812355439472,14.109537199654824,3.487773710759964,8
amp_ramp,qp,0,loss_probe,5.529321461376041,5.567073068443037,5.471651428478765,0.48463276398670696,3.0,4.190755803895607,2.5260647103942455,3.487773710759964,8
amp_ramp,qp,0,w_fro,4.665089930758253,4.48102988211603,4.8489240962175,0.6015907133937464,2.5,4.171063291360808,7.165363589817071,3.487773710759964,8
amp_ramp,qp,0,c_norm,4.662225146071751,4.4790089988258135,4.845787067636776,0.6015994636057278,2.5,4.170267721569517,7.164587895067342,3.487773710759964,8
amp_ramp,qp,0,fn_fro,5.94022632126576,5.601691464954364,6.009625045399819,0.5820538764081042,3.0,4.145348346023851,6.39200932955656,3.487773710759964,8
amp_ramp,qp,0,g_fro,7.292227658095171,7.110501669989638,7.347701974360451,0.7772465539121312,2.0,12.250132152777438,14.618390654776896,3.487773710759964,8
amp_ramp,qp,0,g_proj,5.62009682582052,5.545772901798585,5.645476716260543,0.5960169566617493,3.0,5.636928020350743,7.127561098833455,3.487773710759964,8
amp_ramp,qp,0,c_proj1,5.11970138722547,5.619258195870993,4.7860280470898235,0.5248819677863505,3.0,4.925712243441808,3.3237461375544175,3.487773710759964,8
amp_ramp,qp,0,fn_proj1,5.2308560168289135,5.314116532088218,5.143048857637105,0.5070435398484802,3.0,3.9381256567988405,2.2441921786660197,3.487773710759964,8
amp_ramp,qp,0,margin,5.9574530131740495,5.909109143670031,6.000225268950002,0.6294775778295674,2.0,4.291212120533137,7.397794766853201,3.487773710759964,8
amp_ramp,qp,0,acc_probe,6.898365771775456,6.071080191867288,7.449473855191217,0.9692878122856419,2.0,14.45861588237035,29.15438016949128,3.487773710759964,8
amp_ramp,qp,1,loss_step,4.959821387668152,5.13642789124658,4.863104548400341,0.5176340884398253,3.0,4.171482967083904,6.223479890327047,3.789596474798961,8
amp_ramp,qp,1,loss_full,7.155967636581103,7.099136535761977,7.1626910548447835,0.84621956064094,2.0,9.333293544579309,16.646129395295077,3.789596474798961,8
amp_ramp,qp,1,loss_probe,4.978860796673292,5.043524931970779,4.886490716929567,0.5156263272830423,3.0,4.629289680677024,6.907134412954983,3.789596474798961,8
