family,rank,seed,observer,period,factor,tau,MG,ident,deg,cross
teacher,2,0,loss,44.444444444444436,8,1,5.787605411227359,1.7423061484403466,False,264.0
teacher,2,0,state_norm,1200.0,2,120,,,True,38.0
teacher,2,0,state_norm,1200.0,4,60,,,True,38.0
teacher,2,0,state_norm,1200.0,8,30,18.426059923857913,,False,38.0
teacher,2,0,velocity_norm,44.444444444444436,2,4,6.017251195291507,1.6472225052933436,False,255.0
teacher,2,0,velocity_norm,44.444444444444436,4,2,6.066649371343204,1.789370053007578,False,255.0
teacher,2,0,velocity_norm,44.444444444444436,8,1,6.172977941038748,1.7748846041078754,False,255.0
teacher,2,0,random_projection,85.71428571428571,2,9,6.219297899475987,1.6006094067516343,False,153.0
teacher,2,0,random_projection,85.71428571428571,4,4,5.750743151267358,1.7593988831557352,False,153.0
teacher,2,0,random_projection,85.71428571428571,8,2,5.985240680440883,1.8616439963789921,False,153.0
teacher,2,1,loss,26.666666666666664,2,3,6.049189211274012,1.6592602896456403,False,224.0
teacher,2,1,loss,26.666666666666664,4,1,6.156473283544623,1.850628271647997,False,224.0
teacher,2,1,loss,26.666666666666664,8,1,6.156473283544623,1.850628271647997,False,224.0
teacher,2,1,state_norm,600.0,2,60,,,True,44.0
teacher,2,1,state_norm,600.0,4,30,12.010301819590946,,False,44.0
teacher,2,1,state_norm,600.0,8,15,11.33713971679159,1.839827822863591,False,44.0
teacher,2,1,velocity_norm,26.666666666666664,2,3,6.015372060959159,1.7333125823305666,False,224.0
teacher,2,1,velocity_norm,26.666666666666664,4,1,6.352383246479849,1.7596556698195125,False,224.0
teacher,2,1,velocity_norm,26.666666666666664,8,1,6.352383246479849,1.7596556698195125,False,224.0
teacher,2,1,random_projection,120.0,2,12,5.874108534700258,1.8241055242462239,False,130.0
teacher,2,1,random_projection,120.0,4,6,5.6325976955399195,1.9267502891021375,False,130.0
teacher,2,1,random_projection,120.0,8,3,5.751503138075652,1.6590237475199128,False,130.0
teacher,2,2,loss,40.0,2,4,5.733793884521739,1.5874347330863732,False,250.0
teacher,2,2,loss,40.0,4,2,5.996622593009267,1.6949126239808858,False,250.0
teacher,2,2,loss,40.0,8,1,5.83489716427609,1.8594679491824224,False,250.0
teacher,2,2,state_norm,1200.0,2,120,,,True,52.0
teacher,2,2,state_norm,1200.0,4,60,,,True,52.0
teacher,2,2,state_norm,1200.0,8,30,22.513864421945936,,False,52.0
