run,column,right_step,MG,MG_2E,ident_ratio,PRdelay,roughness,acorr,oscillations,degenerate
g_p3x_p97,train_loss,53320,20.214339654838028,20.17615415788159,0.9981109698556342,1.000023740245132,0.0008268473048241106,647.0,2,False
g_p3x_p97,train_loss,63320,22.827508321810033,22.83982708246227,1.0005396454347348,1.0000028667254357,0.0005097753515766809,689.0,2,False
g_p3x_p97,train_loss,73320,24.605717011649364,24.589028567235317,0.9993217655715481,1.0000007626722542,0.00040105991156730016,703.0,2,False
g_p3x_p97,train_loss,83320,25.73078864918732,25.665906731442643,0.9974784326034746,1.0000005241220402,0.00034015340504949193,707.0,2,False
g_p3x_p97,train_loss,93320,26.627111310957538,26.57952000527097,0.9982126748511777,1.000000994667661,0.00027707432872398855,712.0,2,False
g_p3x_p97,weight_norm,33320,18.812136700835413,18.422987797558005,0.9793139445313446,1.0006872042405015,0.0009561989395066771,613.0,2,False
g_p3x_p97,weight_norm,43320,20.10569460670902,20.020591071483345,0.995767192484995,1.0004733426850057,0.002159722711424628,491.0,2,False
g_p3x_p97,weight_norm,53320,22.120570815851057,22.121918120615288,1.0000609073235698,1.0000134371134182,0.0005970139897517078,678.0,2,False
g_p3x_p97,weight_norm,63320,24.96902532165458,24.962500637916552,0.9997386888893749,1.0000019092812453,0.00037048473417751373,704.0,2,False
g_p3x_p97,weight_norm,73320,26.02195769321965,25.975959661225943,0.9982323377612095,1.0000003611573485,0.0002901318392370003,713.0,2,False
g_p3x_p97,weight_norm,83320,26.68015389952414,26.64375072366907,0.9986355709943742,1.0000000843918817,0.000256054670158263,716.0,2,False
g_p3x_p97,weight_norm,93320,27.41555387718309,27.385125327603397,0.998890099039545,1.000000450580898,0.00022369220839343876,716.0,2,False
