observer,k,truth,MG,LB,PRdelay,roughness,n,error
weight_trace,3,3.0,3.4032563405122134,3.4392368479363653,5.157906178725223,1.6497094984741218,3,0.4032563405122134
weight_trace,4,4.0,4.978067642126924,5.012963657336189,6.744669633550278,1.5558824720070987,3,0.9780676421269243
weight_trace,5,5.0,5.714972205474133,5.774005804274092,9.064817995354002,1.5613662412542642,3,0.7149722054741332
weight_trace,7,7.0,7.583350239075421,7.797119159321084,9.581331688075633,1.5893797637409632,3,0.583350239075421
weight_trace,8,8.0,8.697438140018383,8.868398102892838,13.446288256359152,1.6115428632037223,3,0.6974381400183827
weight_trace,9,9.0,9.988914372840831,10.333721344618578,12.339965815154386,1.5590964198740103,3,0.9889143728408314
weight_trace,11,11.0,12.33242015435687,13.004754204452901,11.160619792074073,1.556755348512762,3,1.3324201543568694
weight_trace,12,12.0,13.265867290793475,13.864347891708212,14.560209578368692,1.6280120842438481,3,1.2658672907934747
weight_trace,13,13.0,13.26398028679467,13.862233694476673,16.524193202540562,1.5544658328789216,3,0.2639802867946699
weight_trace,15,15.0,14.870110189819814,15.493488891735753,18.553376952578596,1.5411508158398335,3,0.12988981018018642
weight_trace,16,16.0,14.535698635037074,15.238450962195255,17.379864989059115,1.543760684024531,3,1.4643013649629264
weight_trace,17,17.0,18.293298632683243,19.106725924519445,19.56817772913664,1.5614953655106498,3,1.2932986326832427
weight_trace,19,19.0,17.198450190899578,17.869526577799622,19.8666221183167,1.5545175537610536,3,1.8015498091004218
weight_trace,20,20.0,20.26821334690385,21.29013376305481,21.724506080370062,1.5760600247548437,3,0.268213346903849
