observer,k,seed,MG,error
latent_projection,7,1,1.1830475217060974,-5.816952478293903
gradient_fro,7,1,1.3920679696599159,-5.607932030340084
gradient_projection,7,1,1.1842559260715753,-5.815744073928425
output_fro,7,1,1.1832900311908578,-5.816709968809143
loss,7,1,1.391732919526019,-5.608267080473981
latent_fro,8,1,1.4765293208294046,-6.523470679170595
latent_projection,8,1,1.2014809740762582,-6.798519025923742
gradient_fro,8,1,1.370993113034697,-6.629006886965303
gradient_projection,8,1,1.1954219791186782,-6.804578020881322
output_fro,8,1,1.1858599453887364,-6.814140054611263
loss,8,1,1.370392819923527,-6.629607180076473
latent_fro,9,1,1.3802350906283551,-7.619764909371645
latent_projection,9,1,1.2168585749053542,-7.783141425094646
gradient_fro,9,1,1.3455071528665101,-7.65449284713349
gradient_projection,9,1,1.180365572920463,-7.819634427079537
output_fro,9,1,1.185363331402453,-7.814636668597547
loss,9,1,1.3449080511803437,-7.655091948819656
latent_fro,10,1,1.3539586759880766,-8.646041324011923
latent_projection,10,1,1.184400156793925,-8.815599843206074
gradient_fro,10,1,1.374197750809331,-8.625802249190668
gradient_projection,10,1,1.2253699914800655,-8.774630008519935
output_fro,10,1,1.1860010202750653,-8.813998979724936
loss,10,1,1.3739551350217696,-8.62604486497823
latent_fro,11,1,1.359661876743223,-9.640338123256777
latent_projection,11,1,1.260855154562215,-9.739144845437785
gradient_fro,11,1,1.4085308860533645,-9.591469113946635
gradient_projection,11,1,1.2435315677789969,-9.756468432221004
output_fro,11,1,1.1865556206585401,-9.81344437934146
loss,11,1,1.4083550400059281,-9.591644959994072
latent_fro,12,1,1.3551982996903118,-10.644801700309689
latent_projection,12,1,1.1858717185709362,-10.814128281429063
gradient_fro,12,1,1.3855641113965025,-10.614435888603497
gradient_projection,12,1,1.1874558138211642,-10.812544186178837
output_fro,12,1,1.185553248691597,-10.814446751308402
loss,12,1,1.3856336697595841,-10.614366330240415
latent_fro,13,1,1.378807404043381,-11.621192595956618
latent_projection,13,1,1.281691934526595,-11.718308065473405
gradient_fro,13,1,1.4199412550422923,-11.580058744957707
gradient_projection,13,1,1.2313977601953983,-11.768602239804602
output_fro,13,1,1.183605011622147,-11.816394988377853
loss,13,1,1.4198250264218544,-11.580174973578146
latent_fro,14,1,1.355313500052972,-12.644686499947028
latent_projection,14,1,1.194287847125928,-12.805712152874072
gradient_fro,14,1,1.3579922623950558,-12.642007737604944
gradient_projection,14,1,1.3195735290052015,-12.6804264709948
output_fro,14,1,1.2749072592787696,-12.72509274072123
loss,14,1,1.3582404256769722,-12.641759574323029
latent_fro,15,1,1.427633231125573,-13.572366768874428
latent_projection,15,1,1.2449505363693574,-13.755049463630643
