run,lr,seed,column,segment,subsample,tau,t_grok,eta_lam_over_2,start_sample,n_samples,MG,MG_2E,ident_ratio,PRdelay,roughness,acorr,crossings,rises,degenerate
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,1,1,802.0,0.9735302057833906,16000,8000,5.108390635037738,10.081049379959444,1.9734296180904674,1.0000320781963281,0.00799347127963702,1698.0,106.0,0.5000625078134767,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,1,1,802.0,0.9735302057833906,18000,8000,5.128490973518685,10.016918407615128,1.9531902189821864,1.0000324957689883,0.008044915943939487,1705.0,120.0,0.5000625078134767,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,1,1,802.0,0.9735302057833906,20000,8000,5.166290061249128,9.931605326233074,1.9223863175486837,1.0000330164715034,0.008108754077854411,1711.0,132.0,0.5000625078134767,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,1,1,802.0,0.9735302057833906,22000,8000,5.219171561353148,9.844311514220772,1.886182777955758,1.0000336211808472,0.008182363863263476,1715.0,146.0,0.5000625078134767,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,10,4,802.0,0.9735302057833906,0,800,12.063273704447834,19.035560143064686,1.5779763113595033,1.9396724910476542,0.5646966398573988,57.0,8.0,0.3579474342928661,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,10,4,802.0,0.9735302057833906,200,800,11.400018074995451,17.650769971968977,1.5483107005491323,1.1420881624470096,0.06224248514804115,94.0,8.0,0.41051314142678347,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,10,4,802.0,0.9735302057833906,400,800,10.618945788899364,17.702985082684165,1.6671132365314627,1.1177310283915538,0.04241932954786706,140.0,10.0,0.3316645807259074,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,10,4,802.0,0.9735302057833906,600,800,12.192111761270692,16.79560697246684,1.377579807447267,1.0523419377233167,0.022470348161012597,156.0,8.0,0.23028785982478098,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,10,4,802.0,0.9735302057833906,800,800,10.99765816250335,16.914166273582673,1.5379789063867915,1.0127129813289084,0.010068970263530973,163.0,6.0,0.11389236545682102,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,10,4,802.0,0.9735302057833906,1000,800,11.053891430367957,16.70495839547989,1.5112287379254477,1.001498396361471,0.0033135843716504006,166.0,2.0,0.025031289111389236,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,10,4,802.0,0.9735302057833906,1200,800,11.66606016879057,16.70307605322092,1.4317666642853033,1.0000798203045214,0.001824788306151876,168.0,2.0,0.0,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,10,4,802.0,0.9735302057833906,1400,800,12.066678811718907,16.69365166620821,1.3834504031047619,1.0000084899013255,0.0016242752690431806,169.0,2.0,0.0,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,10,4,802.0,0.9735302057833906,1600,800,12.36814935168313,16.691226868634278,1.3495330945662327,1.000004362971587,0.0014497364176041707,170.0,2.0,0.0,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,10,4,802.0,0.9735302057833906,1800,800,12.558089218141763,16.689041688798838,1.3289475332512677,1.0000029955326495,0.0013150987272411833,171.0,2.0,0.0,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,10,4,802.0,0.9735302057833906,2000,800,12.769494526911329,16.685436114680652,1.3066637899813962,1.00000218072172,0.0012037763470916826,172.0,2.0,0.0,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,10,4,802.0,0.9735302057833906,2200,800,12.963672448975872,16.683755026861277,1.2869620929198415,1.0000015853252178,0.0011109522430742859,172.0,2.0,0.0,False
eos_lr1.5e+06_s1,1500000.0,1.0,train_loss,all,10,1,802.0,0.9735302057833906,0,800,3.6008252681010484,6.197432558215925,1.7211144937016725,1.4602282273562375,0.5646966398573988,57.0,8.0,0.3579474342928661,False
