observer,k,seed,MG,error
output_fro,19,1,1.3295686943288174,-17.670431305671183
parameter_fro,19,1,1.3295686943288174,-17.670431305671183
parameter_projection,19,1,15.947083059984879,-3.0529169400151215
loss,19,1,1.3295922981185706,-17.67040770188143
latent_fro,20,1,1.3295686943288174,-18.670431305671183
latent_projection,20,1,16.078340047644854,-3.921659952355146
gradient_fro,20,1,1.3295686946185001,-18.6704313053815
output_fro,20,1,1.3295686943288174,-18.670431305671183
parameter_fro,20,1,1.3295686943288174,-18.670431305671183
parameter_projection,20,1,15.64643275415139,-4.353567245848611
loss,20,1,1.329592298118571,-18.67040770188143
latent_fro,1,2,1.3295686943288174,0.3295686943288174
latent_projection,1,2,15.490740287383755,14.490740287383755
gradient_fro,1,2,1.3295686946184997,0.3295686946184997
output_fro,1,2,1.3295686943288179,0.32956869432881786
parameter_fro,1,2,1.3295686943288174,0.3295686943288174
parameter_projection,1,2,15.95200409605519,14.95200409605519
loss,1,2,1.329592298118571,0.32959229811857105
latent_fro,2,2,1.3295686943288174,-0.6704313056711826
latent_projection,2,2,16.10446017918745,14.104460179187448
gradient_fro,2,2,1.3295686946185157,-0.6704313053814843
output_fro,2,2,1.3295686943288174,-0.6704313056711826
parameter_fro,2,2,1.3295686943288174,-0.6704313056711826
parameter_projection,2,2,15.931413102358649,13.931413102358649
loss,2,2,1.329592298118571,-0.670407701881429
latent_fro,3,2,1.3295686943288174,-1.6704313056711826
latent_projection,3,2,15.856194313094827,12.856194313094827
gradient_fro,3,2,1.3295686946184921,-1.6704313053815079
output_fro,3,2,1.3295686943288174,-1.6704313056711826
parameter_fro,3,2,1.3295686943288174,-1.6704313056711826
parameter_projection,3,2,15.689268064967509,12.689268064967509
loss,3,2,1.3295922981185706,-1.6704077018814294
latent_fro,4,2,1.3295686943288174,-2.6704313056711824
latent_projection,4,2,16.009442341873054,12.009442341873054
gradient_fro,4,2,1.3295686946184961,-2.670431305381504
output_fro,4,2,1.3295686943288174,-2.6704313056711824
parameter_fro,4,2,1.3295686943288174,-2.6704313056711824
parameter_projection,4,2,15.73599462695309,11.73599462695309
loss,4,2,1.329592298118571,-2.670407701881429
latent_fro,5,2,1.3295686943288176,-3.6704313056711824
latent_projection,5,2,15.626014703800097,10.626014703800097
gradient_fro,5,2,1.329568694618496,-3.670431305381504
