metric,phase,embedding_dimension,k_neighbors,lb,mg,local_median,local_iqr
val_loss,fitting,6,5,8.504169777519694,5.761767043422115,5.989118429775495,3.8236031579267067
val_loss,fitting,6,8,5.813799380349192,4.82992123633355,5.196869602843593,2.834257635557492
val_loss,fitting,6,10,5.218037265717503,4.398876691881865,5.103231431033234,2.885788214190853
val_loss,fitting,6,15,4.3773955199476955,3.7590610357793475,4.492333311133882,2.298361165269099
val_loss,fitting,9,5,9.276597272666926,6.924540708729544,7.453921269210623,5.78794501949138
val_loss,fitting,9,8,6.477413552677341,5.327864294127292,6.003168417201884,3.3319782413421866
val_loss,fitting,9,10,5.8697996345317955,4.964692474237578,5.460805107838073,3.0795362849657453
val_loss,fitting,9,15,5.14280492261417,4.207888511553567,5.21358869327186,2.5086822485460956
val_loss,fitting,12,5,10.210510322705801,7.499428074339687,8.348258497129784,5.141599333031305
val_loss,fitting,12,8,6.728792710094242,5.438907805014485,6.467316059968464,3.8899388311358134
val_loss,fitting,12,10,6.245239262193233,5.115372693193707,6.083221216182146,3.5682215068662737
val_loss,fitting,12,15,5.528937734425545,4.419352614360243,5.715527422072436,2.957129476209849
val_loss,fitting,15,5,9.596428368574538,7.44670569252478,8.829225260739166,5.088745556907039
val_loss,fitting,15,8,6.918070661487522,5.379071532888272,6.678758664484239,5.133895908655716
val_loss,fitting,15,10,6.451447193827147,5.139695092856201,6.454670513768348,4.329146610957993
val_loss,fitting,15,15,5.68318798305022,4.400618880780499,5.822565819359981,3.401891027213335
val_loss,memorization_gap,6,5,6.098558600993557,4.647250039622239,5.0176770180979275,3.190935068700405
val_loss,memorization_gap,6,8,4.9754507624021365,4.248208402418485,4.519242452882933,2.451599407203288
val_loss,memorization_gap,6,10,4.649846093929486,4.096271036767102,4.257176179067922,2.181546717334871
val_loss,memorization_gap,6,15,4.199988189517278,3.78190404607423,3.8948886380300634,1.8571216546547684
val_loss,memorization_gap,9,5,7.274646455196366,5.279079677354317,5.351432033466673,4.611486824406693
val_loss,memorization_gap,9,8,5.8598179647773945,4.866663064830995,5.024222250374288,2.778390765363789
val_loss,memorization_gap,9,10,5.42964900111636,4.654862387677888,4.905944324395781,2.7728826943619236
val_loss,memorization_gap,9,15,4.851386591529205,4.3130896677032755,4.460197465830021,2.0732987931785707
val_loss,memorization_gap,12,5,7.867448205786253,5.481088785697837,5.782653513949857,5.132306954304977
val_loss,memorization_gap,12,8,6.2958700887926,5.13470038623868,5.342551950430389,3.142427771154682
val_loss,memorization_gap,12,10,5.998502801737821,5.080839044848698,5.262210799196924,2.849068607684684
val_loss,memorization_gap,12,15,5.383077954307456,4.86627472837414,5.0732128429949945,2.2403397194891523
val_loss,memorization_gap,15,5,7.364929915297681,5.37244067693426,5.5940834199038285,4.055098124956771
val_loss,memorization_gap,15,8,6.25215511919681,5.26927792328017,5.595843294076965,2.8597266727744737
val_loss,memorization_gap,15,10,5.963929383379501,5.234706805275436,5.60171328392898,2.621303104259331
val_loss,memorization_gap,15,15,5.676380120518592,5.155311612829916,5.509003335357153,2.266503972303685
val_loss,transition,6,5,4.253991921147624,2.9719508380347173,3.6155161785459535,3.199907245051443
val_loss,transition,6,8,3.56589913598961,2.879292877749287,3.389216544458333,2.1453266365135897
val_loss,transition,6,10,3.403500400438692,2.8408074863662733,3.1596913431743445,1.910511900772331
val_loss,transition,6,15,3.175309024301824,2.846311759458636,2.987300941748943,1.386999965807349
