cfg_id,seed,r,observer,family,traj_PR,upd_PR,drive_cond,max_E,tau,k_neighbors,theiler,window,stride,dither,frac_degenerate,n_windows,MG,MG_sd,LB,LB_sd,TwoNN,TwoNN_sd,PRdelay,PRdelay_sd,specPR64,specPR64_sd,specPR256,specPR256_sd,specPR1024,specPR1024_sd,specPR0,specPR0_sd,roughness,roughness_sd,acorr,acorr_sd
7,92,6,c_norm,norm,5.999212227225837,5.051669169709828,8.04808008858471,10,1,20,autocorr,8000,2000,1e-09,0.0,10,3.8117827560671413,0.01596122377181797,4.069372787838928,0.012823094632459963,4.199909442112158,0.08990855234520792,2.478439175493626,0.0004207682827781158,1.9804683225643793,0.0024158416459716956,2.071512195104404,0.0022354526823565837,2.484052335476282,0.0028849667474469564,5.258000724427805,0.006173561412687063,0.686665230642423,5.702152572565098e-05,2.0,0.0
8,92,6,c_norm,norm,5.999212227225837,5.051669169709828,8.04808008858471,10,2,5,embedding,4000,2000,1e-09,0.0,12,4.871295601297047,0.04287912784424885,6.524339486162052,0.09250686577435827,4.699836442655571,0.1457245986329858,3.1589497100493977,0.0015418490810840168,1.989293085512648,0.0014169349010114318,2.1063292025961715,0.0021491060283062263,2.54136049255135,0.0035631396819088583,3.3098984338859863,0.00952556218937103,0.6866829027099619,0.00023902424133596083,2.0,0.0
9,92,6,c_norm,norm,5.999212227225837,5.051669169709828,8.04808008858471,10,2,5,embedding,8000,2000,1e-09,0.0,10,4.489870897737802,0.038055214952954226,5.573295543088289,0.05390110274849076,4.699527174134239,0.047751270834757255,3.1590884960183234,0.0008310813182596799,1.9804683225643793,0.0024158416459716956,2.071512195104404,0.0022354526823565837,2.484052335476282,0.0028849667474469564,5.258000724427805,0.006173561412687063,0.686665230642423,5.702152572565098e-05,2.0,0.0
10,92,6,c_norm,norm,5.999212227225837,5.051669169709828,8.04808008858471,10,2,5,autocorr,4000,2000,1e-09,0.0,12,4.871295601297047,0.04287912784424885,6.524339486162052,0.09250686577435827,4.699836442655571,0.1457245986329858,3.1589497100493977,0.0015418490810840168,1.989293085512648,0.0014169349010114318,2.1063292025961715,0.0021491060283062263,2.54136049255135,0.0035631396819088583,3.3098984338859863,0.00952556218937103,0.6866829027099619,0.00023902424133596083,2.0,0.0
11,92,6,c_norm,norm,5.999212227225837,5.051669169709828,8.04808008858471,10,2,5,autocorr,8000,2000,1e-09,0.0,10,4.489870897737802,0.038055214952954226,5.573295543088289,0.05390110274849076,4.699527174134239,0.047751270834757255,3.1590884960183234,0.0008310813182596799,1.9804683225643793,0.0024158416459716956,2.071512195104404,0.0022354526823565837,2.484052335476282,0.0028849667474469564,5.258000724427805,0.006173561412687063,0.686665230642423,5.702152572565098e-05,2.0,0.0
12,92,6,c_norm,norm,5.999212227225837,5.051669169709828,8.04808008858471,10,2,20,embedding,4000,2000,1e-09,0.0,12,4.72399261162726,0.025818173741641123,4.922541157096692,0.0300188165307163,4.699836442655571,0.1457245986329858,3.1589497100493977,0.0015418490810840168,1.989293085512648,0.0014169349010114318,2.1063292025961715,0.0021491060283062263,2.54136049255135,0.0035631396819088583,3.3098984338859863,0.00952556218937103,0.6866829027099619,0.00023902424133596083,2.0,0.0
13,92,6,c_norm,norm,5.999212227225837,5.051669169709828,8.04808008858471,10,2,20,embedding,8000,2000,1e-09,0.0,10,4.503426764762744,0.013630794768588089,4.729861571704936,0.016334601719311188,4.699527174134239,0.047751270834757255,3.1590884960183234,0.0008310813182596799,1.9804683225643793,0.0024158416459716956,2.071512195104404,0.0022354526823565837,2.484052335476282,0.0028849667474469564,5.258000724427805,0.006173561412687063,0.686665230642423,5.702152572565098e-05,2.0,0.0
14,92,6,c_norm,norm,5.999212227225837,5.051669169709828,8.04808008858471,10,2,20,autocorr,4000,2000,1e-09,0.0,12,4.72399261162726,0.025818173741641123,4.922541157096692,0.0300188165307163,4.699836442655571,0.1457245986329858,3.1589497100493977,0.0015418490810840168,1.989293085512648,0.0014169349010114318,2.1063292025961715,0.0021491060283062263,2.54136049255135,0.0035631396819088583,3.3098984338859863,0.00952556218937103,0.6866829027099619,0.00023902424133596083,2.0,0.0
15,92,6,c_norm,norm,5.999212227225837,5.051669169709828,8.04808008858471,10,2,20,autocorr,8000,2000,1e-09,0.0,10,4.503426764762744,0.013630794768588089,4.729861571704936,0.016334601719311188,4.699527174134239,0.047751270834757255,3.1590884960183234,0.0008310813182596799,1.9804683225643793,0.0024158416459716956,2.071512195104404,0.0022354526823565837,2.484052335476282,0.0028849667474469564,5.258000724427805,0.006173561412687063,0.686665230642423,5.702152572565098e-05,2.0,0.0
16,92,6,c_norm,norm,5.999212227225837,5.051669169709828,8.04808008858471,10,4,5,embedding,4000,2000,1e-09,0.0,12,7.006130407743223,0.07584516513928827,9.058671782041202,0.13622568246085076,9.051265608179168,0.23101849517685266,2.12364322646667,0.0007331850540995548,1.989293085512648,0.0014169349010114318,2.1063292025961715,0.0021491060283062263,2.54136049255135,0.0035631396819088583,3.3098984338859863,0.00952556218937103,0.6866829027099619,0.00023902424133596083,2.0,0.0
17,92,6,c_norm,norm,5.999212227225837,5.051669169709828,8.04808008858471,10,4,5,embedding,8000,2000,1e-09,0.0,10,5.255183066973679,0.033478413833002686,6.329350752148548,0.07143871017158816,4.417228449163331,0.04931806966535915,2.1238777580823665,0.00030930286124663983,1.9804683225643793,0.0024158416459716956,2.071512195104404,0.0022354526823565837,2.484052335476282,0.0028849667474469564,5.258000724427805,0.006173561412687063,0.686665230642423,5.702152572565098e-05,2.0,0.0
18,92,6,c_norm,norm,5.999212227225837,5.051669169709828,8.04808008858471,10,4,5,autocorr,4000,2000,1e-09,0.0,12,7.006130407743223,0.07584516513928827,9.058671782041202,0.13622568246085076,9.051265608179168,0.23101849517685266,2.12364322646667,0.0007331850540995548,1.989293085512648,0.0014169349010114318,2.1063292025961715,0.0021491060283062263,2.54136049255135,0.0035631396819088583,3.3098984338859863,0.00952556218937103,0.6866829027099619,0.00023902424133596083,2.0,0.0
19,92,6,c_norm,norm,5.999212227225837,5.051669169709828,8.04808008858471,10,4,5,autocorr,8000,2000,1e-09,0.0,10,5.255183066973679,0.033478413833002686,6.329350752148548,0.07143871017158816,4.417228449163331,0.04931806966535915,2.1238777580823665,0.00030930286124663983,1.9804683225643793,0.0024158416459716956,2.071512195104404,0.0022354526823565837,2.484052335476282,0.0028849667474469564,5.258000724427805,0.006173561412687063,0.686665230642423,5.702152572565098e-05,2.0,0.0
20,92,6,c_norm,norm,5.999212227225837,5.051669169709828,8.04808008858471,10,4,20,embedding,4000,2000,1e-09,0.0,12,5.468601917774435,0.016426819948457846,5.684937496782741,0.018854542590975312,9.051265608179168,0.23101849517685266,2.12364322646667,0.0007331850540995548,1.989293085512648,0.0014169349010114318,2.1063292025961715,0.0021491060283062263,2.54136049255135,0.0035631396819088583,3.3098984338859863,0.00952556218937103,0.6866829027099619,0.00023902424133596083,2.0,0.0
21,92,6,c_norm,norm,5.999212227225837,5.051669169709828,8.04808008858471,10,4,20,embedding,8000,2000,1e-09,0.0,10,5.251350868287669,0.01111298835183411,5.458235554378092,0.010963542996175631,4.417228449163331,0.04931806966535915,2.1238777580823665,0.00030930286124663983,1.9804683225643793,0.0024158416459716956,2.071512195104404,0.0022354526823565837,2.484052335476282,0.0028849667474469564,5.258000724427805,0.006173561412687063,0.686665230642423,5.702152572565098e-05,2.0,0.0
22,92,6,c_norm,norm,5.999212227225837,5.051669169709828,8.04808008858471,10,4,20,autocorr,4000,2000,1e-09,0.0,12,5.468601917774435,0.016426819948457846,5.684937496782741,0.018854542590975312,9.051265608179168,0.23101849517685266,2.12364322646667,0.0007331850540995548,1.989293085512648,0.0014169349010114318,2.1063292025961715,0.0021491060283062263,2.54136049255135,0.0035631396819088583,3.3098984338859863,0.00952556218937103,0.6866829027099619,0.00023902424133596083,2.0,0.0
23,92,6,c_norm,norm,5.999212227225837,5.051669169709828,8.04808008858471,10,4,20,autocorr,8000,2000,1e-09,0.0,10,5.251350868287669,0.01111298835183411,5.458235554378092,0.010963542996175631,4.417228449163331,0.04931806966535915,2.1238777580823665,0.00030930286124663983,1.9804683225643793,0.0024158416459716956,2.071512195104404,0.0022354526823565837,2.484052335476282,0.0028849667474469564,5.258000724427805,0.006173561412687063,0.686665230642423,5.702152572565098e-05,2.0,0.0
24,92,6,c_norm,norm,5.999212227225837,5.051669169709828,8.04808008858471,20,1,5,embedding,4000,2000,1e-09,0.0,12,4.908716980983579,0.04463276533696144,6.607953966604345,0.10830081391772142,4.7330298490538425,0.14596298001349073,3.1682543616901993,0.0016519689887624692,1.989293085512648,0.0014169349010114318,2.1063292025961715,0.0021491060283062263,2.54136049255135,0.0035631396819088583,3.3098984338859863,0.00952556218937103,0.6866829027099619,0.00023902424133596083,2.0,0.0
25,92,6,c_norm,norm,5.999212227225837,5.051669169709828,8.04808008858471,20,1,5,embedding,8000,2000,1e-09,0.0,10,4.490227201784138,0.0379691476692198,5.5707285549862045,0.05970483368055481,4.690363650947766,0.04924465214040196,3.1684356107287313,0.0008696689749057773,1.9804683225643793,0.0024158416459716956,2.071512195104404,0.0022354526823565837,2.484052335476282,0.0028849667474469564,5.258000724427805,0.006173561412687063,0.686665230642423,5.702152572565098e-05,2.0,0.0
