H,delta,beta_rel,Q,delta_hold,disp_max,calib_hits,calib_n,calib_median_lead,strictness
600,0.25,0.1,600,0.1,0.12,5,8,310.0,2.8333333333333335
600,0.25,0.1,600,0.15,0.06,3,8,45.0,4.083333333333334
600,0.25,0.1,600,0.15,0.08,4,8,80.0,3.75
600,0.25,0.1,600,0.15,0.12,5,8,310.0,3.0833333333333335
600,0.25,0.1,600,0.2,0.06,3,8,45.0,4.333333333333334
600,0.25,0.1,600,0.2,0.08,4,8,80.0,4.0
600,0.25,0.1,600,0.2,0.12,5,8,310.0,3.3333333333333335
600,0.25,0.2,300,0.1,0.06,2,8,200.0,3.8333333333333335
600,0.25,0.2,300,0.1,0.08,4,8,950.0,3.5
600,0.25,0.2,300,0.1,0.12,4,8,955.0,2.8333333333333335
600,0.25,0.2,300,0.15,0.06,2,8,200.0,4.083333333333334
600,0.25,0.2,300,0.15,0.08,4,8,950.0,3.75
600,0.25,0.2,300,0.15,0.12,4,8,955.0,3.0833333333333335
600,0.25,0.2,300,0.2,0.06,2,8,200.0,4.333333333333334
600,0.25,0.2,300,0.2,0.08,4,8,950.0,4.0
600,0.25,0.2,300,0.2,0.12,4,8,955.0,3.3333333333333335
600,0.25,0.2,600,0.1,0.06,1,8,-100.0,4.333333333333334
600,0.25,0.2,600,0.1,0.08,3,8,650.0,4.0
600,0.25,0.2,600,0.1,0.12,3,8,655.0,3.3333333333333335
600,0.25,0.2,600,0.15,0.06,1,8,-100.0,4.583333333333334
600,0.25,0.2,600,0.15,0.08,3,8,650.0,4.25
600,0.25,0.2,600,0.15,0.12,3,8,655.0,3.5833333333333335
600,0.25,0.2,600,0.2,0.06,1,8,-100.0,4.833333333333334
600,0.25,0.2,600,0.2,0.08,3,8,650.0,4.5
600,0.25,0.2,600,0.2,0.12,3,8,655.0,3.8333333333333335
600,0.3,0.05,300,0.1,0.06,2,8,175.0,3.25
600,0.3,0.05,300,0.1,0.08,3,8,330.0,2.9166666666666665
600,0.3,0.05,300,0.1,0.12,3,8,330.0,2.25
600,0.3,0.05,300,0.15,0.06,2,8,175.0,3.5
600,0.3,0.05,300,0.15,0.08,3,8,330.0,3.1666666666666665
600,0.3,0.05,300,0.15,0.12,3,8,330.0,2.5
600,0.3,0.05,300,0.2,0.06,2,8,175.0,3.75
600,0.3,0.05,300,0.2,0.08,3,8,330.0,3.4166666666666665
600,0.3,0.05,300,0.2,0.12,3,8,330.0,2.75
600,0.3,0.05,600,0.1,0.06,1,8,-125.0,3.75
600,0.3,0.05,600,0.1,0.08,2,8,30.0,3.4166666666666665
600,0.3,0.05,600,0.1,0.12,2,8,30.0,2.75
600,0.3,0.05,600,0.15,0.06,1,8,-125.0,4.0
600,0.3,0.05,600,0.15,0.08,2,8,30.0,3.6666666666666665
600,0.3,0.05,600,0.15,0.12,2,8,30.0,3.0
600,0.3,0.05,600,0.2,0.06,1,8,-125.0,4.25
600,0.3,0.05,600,0.2,0.08,2,8,30.0,3.9166666666666665
600,0.3,0.05,600,0.2,0.12,2,8,30.0,3.25
600,0.3,0.1,300,0.1,0.06,2,8,175.0,3.5
600,0.3,0.1,300,0.1,0.08,3,8,330.0,3.1666666666666665
600,0.3,0.1,300,0.1,0.12,3,8,330.0,2.5
600,0.3,0.1,300,0.15,0.06,2,8,175.0,3.75
600,0.3,0.1,300,0.15,0.08,3,8,330.0,3.4166666666666665
600,0.3,0.1,300,0.15,0.12,3,8,330.0,2.75
600,0.3,0.1,300,0.2,0.06,2,8,175.0,4.0
600,0.3,0.1,300,0.2,0.08,3,8,330.0,3.6666666666666665
600,0.3,0.1,300,0.2,0.12,3,8,330.0,3.0
600,0.3,0.1,600,0.1,0.06,1,8,-125.0,4.0
600,0.3,0.1,600,0.1,0.08,2,8,30.0,3.6666666666666665
600,0.3,0.1,600,0.1,0.12,2,8,30.0,3.0
600,0.3,0.1,600,0.15,0.06,1,8,-125.0,4.25
600,0.3,0.1,600,0.15,0.08,2,8,30.0,3.9166666666666665
600,0.3,0.1,600,0.15,0.12,2,8,30.0,3.25
600,0.3,0.1,600,0.2,0.06,1,8,-125.0,4.5
600,0.3,0.1,600,0.2,0.08,2,8,30.0,4.166666666666667
600,0.3,0.1,600,0.2,0.12,2,8,30.0,3.5
600,0.3,0.2,300,0.1,0.06,2,8,175.0,4.0
600,0.3,0.2,300,0.1,0.08,3,8,330.0,3.6666666666666665
600,0.3,0.2,300,0.1,0.12,3,8,330.0,3.0
600,0.3,0.2,300,0.15,0.06,2,8,175.0,4.25
600,0.3,0.2,300,0.15,0.08,3,8,330.0,3.9166666666666665
600,0.3,0.2,300,0.15,0.12,3,8,330.0,3.25
600,0.3,0.2,300,0.2,0.06,2,8,175.0,4.5
600,0.3,0.2,300,0.2,0.08,3,8,330.0,4.166666666666667
600,0.3,0.2,300,0.2,0.12,3,8,330.0,3.5
600,0.3,0.2,600,0.1,0.06,1,8,-125.0,4.5
600,0.3,0.2,600,0.1,0.08,2,8,30.0,4.166666666666667
600,0.3,0.2,600,0.1,0.12,2,8,30.0,3.5
600,0.3,0.2,600,0.15,0.06,1,8,-125.0,4.75
600,0.3,0.2,600,0.15,0.08,2,8,30.0,4.416666666666667
600,0.3,0.2,600,0.15,0.12,2,8,30.0,3.75
600,0.3,0.2,600,0.2,0.06,1,8,-125.0,5.0
600,0.3,0.2,600,0.2,0.08,2,8,30.0,4.666666666666667
600,0.3,0.2,600,0.2,0.12,2,8,30.0,4.0
900,0.1,0.05,300,0.1,0.06,2,8,120.0,2.5833333333333335
900,0.1,0.05,300,0.1,0.08,4,8,450.0,2.25
900,0.1,0.05,300,0.1,0.12,6,8,740.0,1.5833333333333335
900,0.1,0.05,300,0.15,0.06,2,8,120.0,2.8333333333333335
900,0.1,0.05,300,0.15,0.08,4,8,450.0,2.5
900,0.1,0.05,300,0.15,0.12,6,8,740.0,1.8333333333333335
900,0.1,0.05,300,0.2,0.06,2,8,120.0,3.0833333333333335
900,0.1,0.05,300,0.2,0.08,4,8,450.0,2.75
900,0.1,0.05,300,0.2,0.12,6,8,740.0,2.0833333333333335
900,0.1,0.05,600,0.1,0.06,1,8,-180.0,3.0833333333333335
900,0.1,0.05,600,0.1,0.08,3,8,150.0,2.75
900,0.1,0.05,600,0.1,0.12,5,8,440.0,2.0833333333333335
900,0.1,0.05,600,0.15,0.06,1,8,-180.0,3.3333333333333335
900,0.1,0.05,600,0.15,0.08,3,8,150.0,3.0
900,0.1,0.05,600,0.15,0.12,5,8,440.0,2.3333333333333335
900,0.1,0.05,600,0.2,0.06,1,8,-180.0,3.5833333333333335
900,0.1,0.05,600,0.2,0.08,3,8,150.0,3.25
900,0.1,0.05,600,0.2,0.12,5,8,440.0,2.5833333333333335
900,0.1,0.1,300,0.1,0.06,2,8,120.0,2.8333333333333335
900,0.1,0.1,300,0.1,0.08,3,8,325.0,2.5
900,0.1,0.1,300,0.1,0.12,6,8,740.0,1.8333333333333335
900,0.1,0.1,300,0.15,0.06,2,8,120.0,3.0833333333333335
900,0.1,0.1,300,0.15,0.08,3,8,325.0,2.75
900,0.1,0.1,300,0.15,0.12,6,8,740.0,2.0833333333333335
900,0.1,0.1,300,0.2,0.06,2,8,120.0,3.3333333333333335
900,0.1,0.1,300,0.2,0.08,3,8,325.0,3.0
900,0.1,0.1,300,0.2,0.12,6,8,740.0,2.3333333333333335
900,0.1,0.1,600,0.1,0.06,1,8,-180.0,3.3333333333333335
900,0.1,0.1,600,0.1,0.08,2,8,25.0,3.0
900,0.1,0.1,600,0.1,0.12,5,8,440.0,2.3333333333333335
900,0.1,0.1,600,0.15,0.06,1,8,-180.0,3.5833333333333335
900,0.1,0.1,600,0.15,0.08,2,8,25.0,3.25
900,0.1,0.1,600,0.15,0.12,5,8,440.0,2.5833333333333335
900,0.1,0.1,600,0.2,0.06,1,8,-180.0,3.8333333333333335
900,0.1,0.1,600,0.2,0.08,2,8,25.0,3.5
900,0.1,0.1,600,0.2,0.12,5,8,440.0,2.8333333333333335
900,0.1,0.2,300,0.1,0.06,2,8,270.0,3.3333333333333335
900,0.1,0.2,300,0.1,0.08,3,8,450.0,3.0
900,0.1,0.2,300,0.1,0.12,5,8,740.0,2.3333333333333335
900,0.1,0.2,300,0.15,0.06,2,8,270.0,3.5833333333333335
900,0.1,0.2,300,0.15,0.08,3,8,450.0,3.25
900,0.1,0.2,300,0.15,0.12,5,8,740.0,2.5833333333333335
900,0.1,0.2,300,0.2,0.06,2,8,270.0,3.8333333333333335
900,0.1,0.2,300,0.2,0.08,3,8,450.0,3.5
900,0.1,0.2,300,0.2,0.12,5,8,740.0,2.8333333333333335
900,0.1,0.2,600,0.1,0.06,1,8,-30.0,3.8333333333333335
900,0.1,0.2,600,0.1,0.08,2,8,150.0,3.5
900,0.1,0.2,600,0.1,0.12,4,8,440.0,2.8333333333333335
900,0.1,0.2,600,0.15,0.06,1,8,-30.0,4.083333333333334
900,0.1,0.2,600,0.15,0.08,2,8,150.0,3.75
900,0.1,0.2,600,0.15,0.12,4,8,440.0,3.0833333333333335
900,0.1,0.2,600,0.2,0.06,1,8,-30.0,4.333333333333334
900,0.1,0.2,600,0.2,0.08,2,8,150.0,4.0
900,0.1,0.2,600,0.2,0.12,4,8,440.0,3.3333333333333335
900,0.15,0.05,300,0.1,0.06,2,8,120.0,2.75
900,0.15,0.05,300,0.1,0.08,4,8,450.0,2.4166666666666665
900,0.15,0.05,300,0.1,0.12,6,8,680.0,1.75
900,0.15,0.05,300,0.15,0.06,2,8,120.0,3.0
900,0.15,0.05,300,0.15,0.08,4,8,450.0,2.6666666666666665
900,0.15,0.05,300,0.15,0.12,6,8,680.0,2.0
900,0.15,0.05,300,0.2,0.06,2,8,120.0,3.25
900,0.15,0.05,300,0.2,0.08,4,8,450.0,2.9166666666666665
900,0.15,0.05,300,0.2,0.12,6,8,680.0,2.25
900,0.15,0.05,600,0.1,0.06,1,8,-180.0,3.25
900,0.15,0.05,600,0.1,0.08,3,8,150.0,2.9166666666666665
900,0.15,0.05,600,0.1,0.12,5,8,380.0,2.25
900,0.15,0.05,600,0.15,0.06,1,8,-180.0,3.5
900,0.15,0.05,600,0.15,0.08,3,8,150.0,3.1666666666666665
900,0.15,0.05,600,0.15,0.12,5,8,380.0,2.5
900,0.15,0.05,600,0.2,0.06,1,8,-180.0,3.75
900,0.15,0.05,600,0.2,0.08,3,8,150.0,3.4166666666666665
900,0.15,0.05,600,0.2,0.12,5,8,380.0,2.75
900,0.15,0.1,300,0.1,0.06,2,8,120.0,3.0
900,0.15,0.1,300,0.1,0.08,3,8,325.0,2.6666666666666665
900,0.15,0.1,300,0.1,0.12,6,8,680.0,2.0
900,0.15,0.1,300,0.15,0.06,2,8,120.0,3.25
900,0.15,0.1,300,0.15,0.08,3,8,325.0,2.9166666666666665
900,0.15,0.1,300,0.15,0.12,6,8,680.0,2.25
900,0.15,0.1,300,0.2,0.06,2,8,120.0,3.5
900,0.15,0.1,300,0.2,0.08,3,8,325.0,3.1666666666666665
900,0.15,0.1,300,0.2,0.12,6,8,680.0,2.5
900,0.15,0.1,600,0.1,0.06,1,8,-180.0,3.5
900,0.15,0.1,600,0.1,0.08,2,8,25.0,3.1666666666666665
900,0.15,0.1,600,0.1,0.12,5,8,380.0,2.5
900,0.15,0.1,600,0.15,0.06,1,8,-180.0,3.75
900,0.15,0.1,600,0.15,0.08,2,8,25.0,3.4166666666666665
900,0.15,0.1,600,0.15,0.12,5,8,380.0,2.75
900,0.15,0.1,600,0.2,0.06,1,8,-180.0,4.0
900,0.15,0.1,600,0.2,0.08,2,8,25.0,3.6666666666666665
900,0.15,0.1,600,0.2,0.12,5,8,380.0,3.0
900,0.15,0.2,300,0.1,0.06,2,8,230.0,3.5
900,0.15,0.2,300,0.1,0.08,3,8,450.0,3.1666666666666665
900,0.15,0.2,300,0.1,0.12,5,8,680.0,2.5
900,0.15,0.2,300,0.15,0.06,2,8,230.0,3.75
900,0.15,0.2,300,0.15,0.08,3,8,450.0,3.4166666666666665
900,0.15,0.2,300,0.15,0.12,5,8,680.0,2.75
900,0.15,0.2,300,0.2,0.06,2,8,230.0,4.0
900,0.15,0.2,300,0.2,0.08,3,8,450.0,3.6666666666666665
900,0.15,0.2,300,0.2,0.12,5,8,680.0,3.0
900,0.15,0.2,600,0.1,0.06,1,8,-70.0,4.0
900,0.15,0.2,600,0.1,0.08,2,8,150.0,3.6666666666666665
900,0.15,0.2,600,0.1,0.12,4,8,380.0,3.0
900,0.15,0.2,600,0.15,0.06,1,8,-70.0,4.25
900,0.15,0.2,600,0.15,0.08,2,8,150.0,3.9166666666666665
900,0.15,0.2,600,0.15,0.12,4,8,380.0,3.25
900,0.15,0.2,600,0.2,0.06,1,8,-70.0,4.5
900,0.15,0.2,600,0.2,0.08,2,8,150.0,4.166666666666667
900,0.15,0.2,600,0.2,0.12,4,8,380.0,3.5
900,0.2,0.05,300,0.1,0.06,2,8,120.0,2.916666666666667
900,0.2,0.05,300,0.1,0.08,4,8,370.0,2.5833333333333335
900,0.2,0.05,300,0.1,0.12,6,8,600.0,1.9166666666666667
900,0.2,0.05,300,0.15,0.06,2,8,120.0,3.1666666666666665
900,0.2,0.05,300,0.15,0.08,4,8,370.0,2.833333333333333
900,0.2,0.05,300,0.15,0.12,6,8,600.0,2.1666666666666665
900,0.2,0.05,300,0.2,0.06,2,8,120.0,3.416666666666667
900,0.2,0.05,300,0.2,0.08,4,8,370.0,3.0833333333333335
900,0.2,0.05,300,0.2,0.12,6,8,600.0,2.416666666666667
900,0.2,0.05,600,0.1,0.06,1,8,-180.0,3.416666666666667
900,0.2,0.05,600,0.1,0.08,3,8,70.0,3.0833333333333335
900,0.2,0.05,600,0.1,0.12,5,8,300.0,2.416666666666667
900,0.2,0.05,600,0.15,0.06,1,8,-180.0,3.6666666666666665
900,0.2,0.05,600,0.15,0.08,3,8,70.0,3.333333333333333
900,0.2,0.05,600,0.15,0.12,5,8,300.0,2.6666666666666665
900,0.2,0.05,600,0.2,0.06,1,8,-180.0,3.916666666666667
900,0.2,0.05,600,0.2,0.08,3,8,70.0,3.5833333333333335
