sweep,arm,max_E,N,r,seed,observer,tau,truth_r,traj_rank,traj_pr,MG,LB,TwoNN,PRdelay,specPR256,roughness,acorr,degenerate,frac_floor,frac_sumfloor,tau_used,theiler_used,theiler_requested,embed_span,n_delay_vectors,crossings,margin_res,drive_cond,MG_2E,rho_ident,theiler_used_2E
N,frozen,20,1000,4,0,c_proj1,4,4,20,4.000052168263919,3.386530734228145,3.4078705831308143,5.2819886909108655,3.8096321551830825,3.204992931787141,0.6137637231515322,2.0,False,0.0,0.0,4,76,76,76,924,219,0.0051989785150333,2.277822578222282,3.273444834821218,0.9666071539632132,150.0
N,frozen,20,1000,4,0,fn_proj1,4,4,20,4.000052168263919,3.942285700888317,4.042097693072032,5.621654081099734,3.483368546550728,3.696417594238311,0.6350018235711241,2.0,False,0.0,0.0,4,76,76,76,924,214,0.0051989785150333,2.277822578222282,3.628728883409632,0.9204631928609254,150.0
N,frozen,20,1000,4,1,c_norm,4,4,20,3.999026161300975,3.3851240254745405,3.4701589221365494,2.1207895828053407,3.6601348752777847,3.409089020565178,0.4964771503296795,3.0,False,0.0,0.0,4,76,76,76,924,161,0.0051989785150333,2.5248219950760005,,,
N,frozen,20,1000,4,1,g_fro,4,4,20,3.999026161300975,8.222865507517545,8.59131087889918,6.219524360628578,12.832408589567734,12.085550786566415,1.048410918679601,2.0,False,0.0,0.0,4,76,76,76,924,347,0.0051989785150333,2.5248219950760005,,,
N,frozen,20,1000,4,1,c_proj1,4,4,20,3.999026161300975,3.0340868003100305,3.075690519361423,2.868119589818432,4.443089474266254,3.6863124429116345,0.5949834520566073,2.0,False,0.0,0.0,4,76,76,76,924,203,0.0051989785150333,2.5248219950760005,,,
N,frozen,20,1000,4,1,fn_proj1,4,4,20,3.999026161300975,4.547523417604553,4.805130281106809,5.178212708682174,4.562603638070557,3.0045142432334093,0.4828675706441329,3.0,False,0.0,0.0,4,76,76,76,924,151,0.0051989785150333,2.5248219950760005,,,
N,frozen,20,1000,4,2,c_norm,4,4,20,3.999342730732364,4.344706826359704,4.406184710832856,7.577584590927505,2.3163483147398987,2.6119377667492696,0.7188280537795583,2.0,False,0.0,0.0,4,76,76,76,924,245,0.0051989785150333,3.454484806814512,,,
N,frozen,20,1000,4,2,g_fro,4,4,20,3.999342730732364,7.02420271774005,7.374669669355566,6.074343526832779,8.002579492531044,7.227726441857441,1.0862692428017855,2.0,False,0.0,0.0,4,76,76,76,924,361,0.0051989785150333,3.454484806814512,,,
N,frozen,20,1000,4,2,c_proj1,4,4,20,3.999342730732364,3.848017552490252,3.937506664296635,7.898769295271191,2.186971970257008,1.7844447561428145,0.6664466392230314,2.0,False,0.0,0.0,4,76,76,76,924,218,0.0051989785150333,3.454484806814512,,,
N,frozen,20,1000,4,2,fn_proj1,4,4,20,3.999342730732364,4.594401287761234,4.7750290155419854,5.595798441077078,4.444305814405659,3.946462000829578,0.5892459183883185,3.0,False,0.0,0.0,4,76,76,76,924,194,0.0051989785150333,3.454484806814512,,,
N,frozen,20,1000,6,0,c_norm,4,6,20,5.993005680749981,5.688799269591126,5.910500844014915,10.341658729094725,4.072745978299765,4.546402988648121,0.6593893162410571,2.0,False,0.0,0.0,4,76,76,76,924,223,0.0051989785150333,2.8767904391192207,4.725824529031922,0.8307244297216315,150.0
