r,rho,seed,manifold,pr_pos,pr_pred,MG,LB,PRdelay,specPR256,roughness,frac_degenerate
8,0.8,1,8,4.306087791389632,4.306121520690194,6.8700992734479405,7.154437147145319,5.927551656387075,3.5925680092418375,0.6013574167453041,0.0
8,0.8,2,8,4.3061938514326314,4.306121520690194,5.5204083706891796,5.745273195528009,6.545047872998388,4.745733328909202,0.6260679134518271,0.0
8,0.7,0,8,2.9021697163081352,2.90221448945333,5.413650737219991,5.59443767798935,5.192606939478479,3.234009404153271,0.6306578156879444,0.0
8,0.7,1,8,2.9020744659774658,2.90221448945333,4.914474683130628,5.075229134716093,5.407268118718059,3.2121743460344834,0.6117470949485474,0.0
8,0.7,2,8,2.9021127208412727,2.90221448945333,5.263577525516117,5.441216012045662,4.986797458021682,2.887613427953698,0.613864526414038,0.0
8,0.6,0,8,2.123772248575782,2.123801366437033,4.9015515880817135,5.0249118895938425,3.8377176892085036,2.0792802799705523,0.6063743505786863,0.0
8,0.6,1,8,2.12392256619959,2.123801366437033,4.397544240045721,4.525060051365128,4.0334377078918795,2.24018546930537,0.6169703762336683,0.0
8,0.6,2,8,2.1238203197507133,2.123801366437033,4.583695557115396,4.709695110823118,4.0108665829077506,2.2414550083206692,0.6193847628803242,0.0
8,0.5,0,8,1.666608629993829,1.6666158048125486,5.049405861640681,5.182376999857329,2.9978216376346314,1.5436063928150123,0.5936382671171154,0.0
8,0.5,1,8,1.6665645782885816,1.6666158048125486,4.8562643123298415,4.977589249020019,2.9211315863547833,1.4922887239569298,0.5814216779161959,0.0
8,0.5,2,8,1.6666060303153158,1.6666158048125486,4.672981140908611,4.786136595680561,3.6175840539901145,1.9319033451443959,0.6109590400621782,0.0
