window,cycles,max_E,k_neighbors,tau,bias,mae,max_error,rho,inversions,objective,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
2000,1000.0,25,30,1,-0.9300283267899584,1.1475639307913943,3.7688590170030647,0.9272727272727272,1,2.151335734192007,0.986343502864221,2.133275032076967,3.7354574530305253,4.218945534899687,4.820339245382147,5.330358338086846,6.292085882078986,5.955097006642405,5.996673754041696,6.231140982996935
2000,300.0,25,10,2,0.1254778208241011,0.9409612172342456,2.3937772177577283,0.8909090909090909,3,2.1697166607857916,1.1212440831981063,2.814507147151658,3.0851826261873523,4.231898493764976,7.393777217757728,6.781363368509999,7.9042222537219144,6.954292385332271,8.142129948762179,7.826160683854828
4000,300.0,25,20,4,-0.4828187946140581,1.0422474094301464,3.162771916408942,0.9393939393939393,2,2.1748017927119347,1.1306540961560878,2.3326808717396985,3.657704096446378,4.097183940541817,6.412709904488184,6.166210164708276,6.558135827948397,6.231208056489107,6.748097011750415,6.837228083591058
2000,1000.0,25,5,2,0.00527548732050862,0.9976152011977527,2.6003441937202503,0.7939393939393938,3,2.267684039941803,1.2171601295595877,1.151190854871308,3.608654901648994,3.8220188066082326,4.291098121799461,8.60034419372025,8.588294217662474,7.517543483150239,7.796156273639258,8.460293890545282
4000,300.0,25,30,4,-0.5259936698904106,0.934020642240249,3.087240442729615,0.9272727272727272,3,2.301468730786172,1.1032006868764321,1.9944477914616137,3.2748730160214503,4.146226255946498,6.317409006844847,6.198425896059964,6.5876442106567215,6.239979034222878,6.965097845735104,6.912759557270385
4000,1000.0,25,5,4,-0.02566332257573256,1.0257971656281608,2.657226880790276,0.9030303030303028,3,2.307242541786216,1.2694438254525537,1.4042705736644772,2.594690755229499,6.657226880790276,3.5568849713716153,4.600102992386276,8.840650743058246,8.233347765961065,8.848111974750985,8.73863629157768
4000,1000.0,25,5,2,-0.5513035803135115,1.2244758678223298,3.4488715259324945,0.9515151515151514,2,2.4142501730088286,1.2726960250603414,1.4045688711501374,2.882449474082727,5.912709445451182,6.180455967032567,5.682854571913931,6.3759623207463685,6.4007047432730735,6.823434304087051,6.5511284740675055
2000,300.0,25,10,4,0.5193434163273333,1.1303371360831123,2.6740084930686887,0.8545454545454544,3,2.41513883469685,1.1332070754672472,2.746496552219569,3.470606167339431,4.781105558027649,7.674008493068689,8.518008767007386,7.924970148922258,7.72421841234688,8.262504621157216,7.958308367717009
4000,1000.0,25,5,1,-0.10062339008931906,1.0211485052062845,3.5138234896934515,0.7454545454545454,3,2.473913203144975,1.2742203963785554,1.4183779354296897,2.599288960914653,7.5138234896934515,5.362613968543941,5.730841078887237,7.451967720968879,7.083961484236231,8.107113487460952,7.4515575765932205
2000,1000.0,25,5,1,-0.6987558636838335,1.1116527327958772,3.2820398415510574,0.9636363636363635,3,2.518060701106089,1.218427736753944,1.1710578013208506,3.7770878446812093,4.705968101355406,5.363000662769659,5.823793634674749,6.267944707199489,6.188988867087849,6.7782118488695655,6.717960158448943
