observer,k,seed,expected,class,LB,MG,PR,TwoNN,roughness
norm_fro,1,1,1.0,good,1.5523021557015027,1.2211840734145865,1.9927673985171632,0.6582308430040708,0.8647145431051968
norm_fro_sq,1,1,1.0,good,1.5522985994664515,1.2211766890835074,1.9928064938991084,0.6582131338786924,0.8647241084683351
trace,1,1,1.0,good,1.552300773650564,1.221168590536917,1.9918779937009947,0.6582017389396357,0.8644939532943455
logdet,1,1,1.0,good,1.5522989832466758,1.2211772685224975,1.992807588165159,0.6582057881895934,0.8647211655847273
norm_l1,1,1,1.0,good,1.5522997445740747,1.2211765365659113,1.9918779938698814,0.658201908139672,0.8644939523482673
proj_rand0,1,1,1.0,good,1.5523000332925598,1.2211797805008289,1.9918779939224887,0.6582204076479997,0.8644939536751663
proj_rand1,1,1,1.0,good,1.552302703816995,1.2211837940722845,1.9918779939227957,0.6582318315866367,0.86449395438918
proj_rand2,1,1,1.0,good,1.5523009150865983,1.2211820386478371,1.9918779939557192,0.6582232681968937,0.864493954152005
proj_rand3,1,1,1.0,good,1.5523035111252146,1.2211814734830313,1.9918779938672113,0.6582276696776013,0.8644939531332942
coord_active0,1,1,1.0,bad_by_construction,1.5523024881388319,1.221180710053271,1.9918779938557696,0.6582248303839646,0.8644939546998547
proj_half_active,1,1,1.0,bad_by_construction,1.5523017035474977,1.2211827354420055,1.9918779939849243,0.6582178746582882,0.864493954027555
coord_inactive,1,1,,degenerate,17.38254010818533,13.28336171288832,14.908478351600635,13.240348975650912,1.409448196027402
proj_inactive_only,1,1,,degenerate,15.0,12.266750558006358,10.233752807423096,13.247577118801436,1.0007509436705326
norm_fro,2,1,2.0,good,2.6922262600033893,2.2024093164793235,2.614038894740918,2.663512424403705,0.9484160101083005
norm_fro_sq,2,1,2.0,good,2.6922565819235484,2.2024245307886856,2.614103757322018,2.663496661806395,0.9484292718011851
trace,2,1,2.0,good,2.9723877334723916,2.282202059522523,2.56395925866089,2.8591191594964944,0.966607443683398
logdet,2,1,2.0,good,3.6657923492278464,2.516006056644295,2.454849706785014,3.1986919080279907,0.9835008088141733
norm_l1,2,1,2.0,good,2.9723880601031403,2.282202729178388,2.5639592515285012,2.85910481012246,0.9666074384827754
proj_rand0,2,1,2.0,good,4.103480769010709,3.5073589074946367,2.1616928131695308,4.766890185739723,1.0100167319618898
proj_rand1,2,1,2.0,good,2.46290937343357,2.270197915603652,2.013604605526476,2.9134265020696444,1.0216959343909957
proj_rand2,2,1,2.0,good,2.7011610111051794,2.2040044543083703,2.611247450398618,2.6827445133103813,0.9496692140464343
proj_rand3,2,1,2.0,good,3.8069114628381095,3.0870456850727597,2.3586247200752237,2.460316914053958,0.8996178537053511
coord_active0,2,1,1.0,bad_by_construction,1.5522967707534645,1.2211761172218476,1.991882489050109,0.6582180104457932,0.8644913284461166
proj_half_active,2,1,1.0,bad_by_construction,1.5522995483716568,1.2211744672864424,1.9918824889923492,0.6582048231358412,0.8644913288357418
coord_inactive,2,1,,degenerate,17.341898854348507,13.292846546957438,14.909160589286937,13.223178544170786,1.4100003552020395
proj_inactive_only,2,1,,degenerate,15.0,12.361748019609808,10.23375133797959,13.298708947717632,1.0007508287525244
norm_fro,3,1,3.0,good,4.480307673342252,3.5949247353243625,2.7654624868246342,3.53305565708448,0.9340232383258102
norm_fro_sq,3,1,3.0,good,4.480131271194022,3.5947714120386696,2.765526559658169,3.532838106675055,0.9340373279105099
