seed,observer,truth,observed_roughness,frac_degenerate,n_windows,tau_used,theiler_used,MG,MG_sd,LB,LB_sd,TwoNN,TwoNN_sd,PRdelay,PRdelay_sd,specPR64,specPR64_sd,specPR256,specPR256_sd,specPR1024,specPR1024_sd,specPR0,specPR0_sd,roughness,roughness_sd,acorr,acorr_sd
4,x + x^5,4,0.14215276188516052,0.0,3,4.0,76.0,3.9764474613836605,0.014677794998011723,5.047386727862219,0.07742750509787742,9.165815231230944,0.4814942617894117,3.644920423500391,0.01002387744011976,2.490688284525569,0.01984154505514917,6.438409227312895,0.09677669498825306,14.586404568648797,0.7290540341297704,18.75745206694584,0.8220327407530307,0.14199316401042983,0.0006670223037643459,10.0,0.0
4,x + 0.1 x^7,4,0.16187526591628068,0.0,3,4.0,76.0,4.048696173112792,0.03249129630527101,5.048766931904197,0.07575820199699097,9.506118716919138,0.6451130718159669,4.295108673518868,0.0392047975806925,2.9535824958311396,0.026574479933103762,8.347222635296154,0.20984120028019945,20.905915477795325,1.4191890380668084,28.1685308635046,1.7709190027316208,0.1617000441711161,0.0012646800740898055,9.0,0.0
5,identity,4,0.08953304582470142,0.0,3,4.0,76.0,3.812458806922215,0.04090772040549638,4.62807641888507,0.11061908738603422,7.002621418075967,0.1260881742599133,2.242417554442269,0.0003331310738784862,1.7409142612453392,0.008432833058034469,2.667906295586353,0.019392097623488792,4.045632704533482,0.012260272747130516,4.705763479127195,0.006519741617471447,0.08956088254499832,2.6241768604194686e-05,14.0,0.0
5,x + 0.25 x^3,4,0.09664665648465419,0.0,3,4.0,76.0,3.8744289769346323,0.06705557482505461,4.7080433639010195,0.09994466915644497,7.901729397507444,0.13761539565651223,2.3632797017086284,0.0027370398642209783,1.8069189526752094,0.0062158359550789745,2.9441611599980524,0.005788740493868937,4.590724744391839,0.059009219213262985,5.340274821635976,0.07683747358370943,0.09650888638014733,0.0001928782991179176,14.0,0.0
5,x + x^3,4,0.10905837340343325,0.0,3,4.0,76.0,3.8434615660291462,0.0520644152179567,4.781801979040214,0.07994320412792078,8.242571524481269,0.18036435437779438,2.627151961497348,0.0042352780143453525,1.9664555671540818,0.00452583375862283,3.5869797338261793,0.010927507436581677,5.889499196608371,0.2263962415979783,6.865612623564654,0.27704366380168244,0.1088311861975615,0.0003039710404582424,13.0,0.0
5,x + x^5,4,0.14464747659563504,0.0,3,4.0,76.0,3.7958260522899927,0.06553086261358984,4.756865475812521,0.08216157873664474,7.530822535628931,0.9546531310337167,3.6820358209161634,0.01433324987307595,2.6150989092137404,0.0008568215026611396,6.622175293850114,0.11642585894167612,13.673276128215196,1.5090483051534016,16.706169628744295,1.8289569329177127,0.14402598963289567,0.0007503281430354671,10.0,0.0
5,x + 0.1 x^7,4,0.16476055644922558,0.0,3,4.0,76.0,3.8811816195207802,0.05374119827802932,4.867162192364501,0.11698915436258288,8.126488071364273,0.8591819623488333,4.3043372870641035,0.06805980292400841,3.044980228193356,0.026742632284097755,8.386906810019505,0.32129239640839596,19.02362743806102,2.638074064682706,24.30548758773262,3.3873351369431974,0.1630354372073401,0.0018519553539622798,9.0,0.0
6,identity,4,0.0886361377438301,0.0,3,4.0,76.0,4.056855421121144,0.1459424718880544,4.636540417566318,0.12783255492172266,7.543489321702712,0.31435044405256146,2.194443160461221,0.0020631367283482495,1.5878429245149337,0.009334970276007399,2.392980576067947,0.009499574517588438,4.114414223660756,0.013000631141009845,5.249612554892226,0.01654779389787867,0.08859806261038658,4.152205095593759e-05,14.0,0.0
6,x + 0.25 x^3,4,0.09572607780288098,0.0,3,4.0,76.0,4.0928159989091695,0.16098674979861768,4.76878509206185,0.15531547417040675,9.212055198469464,0.5058892758824217,2.3173349493404283,0.00304831344507216,1.6681741289051948,0.007901416524258584,2.6957087129714132,0.02542548318165146,4.652700259051513,0.027889698767780274,5.928201150276871,0.03349595784440571,0.09570943338692886,9.98000158929968e-05,14.0,0.0
6,x + x^3,4,0.10810479670416719,0.0,3,4.0,76.0,4.071679773226124,0.14064953993693655,4.8274070401223526,0.14828469309638295,9.694063973049834,0.5490965154405032,2.5745295449622314,0.004456967925394439,1.8369752757851066,0.009260714636511916,3.3433947036889835,0.06422708790269598,6.064703281801717,0.07689360868683273,7.595561959213218,0.11413783581068139,0.10797417066674164,0.00018182501675564214,13.0,0.0
6,x + x^5,4,0.14361387143087265,0.0,3,4.0,76.0,3.98883605798409,0.18044092319368743,4.926737436759528,0.11336461366871926,9.80254185341613,0.6651464137154035,3.5964200317654256,0.013294106204216626,2.5078792380467796,0.03120230021852621,6.344483367324168,0.1340603122504357,13.866022085847982,0.8847866866910363,17.91089302398569,1.1992060871790362,0.14296069035586104,0.0006154456051301872,10.0,0.0
6,x + 0.1 x^7,4,0.16356777760022922,0.0,3,4.0,76.0,4.030865085597905,0.24159057570700418,4.872760052326334,0.18693939195924217,10.16919811483039,1.0640267123492102,4.199929526238708,0.047471898795466115,2.9628400160232236,0.04370092868741182,8.356855836910345,0.1734138269157244,18.91380311934913,1.8212073703400462,26.164633009103543,2.6617902733143923,0.16193912623516998,0.0013785909890551302,9.0,0.0
7,identity,4,0.0938537168188465,0.0,3,4.0,76.0,3.979323055677071,0.07679823145440427,4.523759669340235,0.10519036739390777,5.140006841246875,0.10737788086509688,2.1388864073093528,0.0009434753890014502,1.8398376332969815,0.013849989597447529,3.0044258096300918,0.01567021991060549,3.5586454675467594,0.003341895448242173,3.7982051709980507,0.00690809745449058,0.09385952139312023,4.442373502861742e-05,13.0,0.0
7,x + 0.25 x^3,4,0.1006881151538186,0.0,3,4.0,76.0,4.065622558876126,0.08754341680741665,4.674110097037714,0.07980029806328402,6.172787976267857,0.13638109982279603,2.261570105682382,0.0025386926243174167,1.8974810226175818,0.012556216574000398,3.271080608573829,0.01628722045858429,4.196773678868096,0.03975334883696103,4.5235175430928685,0.04528144676924207,0.10085005223016698,0.0001665839780422686,13.0,0.0
7,x + x^3,4,0.11331580144552968,0.0,3,4.0,76.0,4.11880755178077,0.08511147730922217,4.805977654453024,0.08265271184224127,6.902253426455765,0.240269869831092,2.5130843976163537,0.0051871002543769865,2.0452344445245427,0.011081186588494671,3.8444688786073944,0.012353271764613441,5.7472554691315585,0.1710516261400045,6.25788733889498,0.18710598903195247,0.11354870303206212,0.00022138268842591358,12.0,0.0
7,x + x^5,4,0.149633650190566,0.0,3,4.0,76.0,4.159318573070891,0.08255564694096407,4.948838980878389,0.07151380049657213,7.8353746807426985,0.3059759156810275,3.5267032223195534,0.016773635287181093,2.627560573464016,0.009537351179522136,6.42880839211861,0.01986944888401041,15.362470149572744,0.958256499121655,17.646534018289987,0.9128597932660127,0.1499384834367256,0.00039040486308787196,10.0,0.0
7,x + 0.1 x^7,4,0.17020495135065272,0.0,3,4.0,76.0,4.169192921403865,0.08567234843861514,4.787839933785569,0.09827887421869191,8.09761223937564,0.13325520161851606,4.194296092283737,0.045562614501283474,3.0383610984850287,0.023676011303824275,8.254133000752104,0.10317274868509302,21.76747976768668,1.3339732520414194,26.156859644560605,1.1280941918085363,0.17108283692417756,0.0009961912030772328,9.0,0.0
