period,r,tau,max_E,seed,tau_used,theiler_used,span,span_periods,MG,PRdelay,specPR0,specPR256,roughness,degenerate,margin
16,2,acorr,20,1,1,19,19,1.1875,3.0645580590620325,3.626414516587732,4.594476609876013,1.924599530581955,0.5559170172280237,False,0.0051989785150333145
16,3,1,10,0,1,9,9,0.5625,3.6898128124064273,2.440626868856052,3.8314948665999253,1.9461475847144671,0.5735291732350788,False,0.0051989785150333145
16,3,1,10,1,1,9,9,0.5625,2.7932596708455257,3.1951299058872418,4.522394304328104,2.2698491015570217,0.6216017313660797,False,0.0051989785150333145
16,3,1,20,0,1,19,19,1.1875,3.322773445432643,3.3418017344186595,3.8314948665999253,1.9461475847144671,0.5735291732350788,False,0.0051989785150333145
16,3,1,20,1,1,19,19,1.1875,2.428091870984562,4.083202781097326,4.522394304328104,2.2698491015570217,0.6216017313660797,False,0.0051989785150333145
16,3,2,10,0,2,18,18,1.125,3.331040657319037,3.3340198458115347,3.8314948665999253,1.9461475847144671,0.5735291732350788,False,0.0051989785150333145
16,3,2,10,1,2,18,18,1.125,2.430530461765001,4.0630673601254,4.522394304328104,2.2698491015570217,0.6216017313660797,False,0.0051989785150333145
16,3,2,20,0,2,38,38,2.375,3.95009591629465,3.648139421663411,3.8314948665999253,1.9461475847144671,0.5735291732350788,False,0.0051989785150333145
16,3,2,20,1,2,38,38,2.375,2.4499231710817218,4.18366195086174,4.522394304328104,2.2698491015570217,0.6216017313660797,False,0.0051989785150333145
16,3,4,10,0,4,36,36,2.25,4.2726970962052695,3.28311754393453,3.8314948665999253,1.9461475847144671,0.5735291732350788,False,0.0051989785150333145
16,3,4,10,1,4,36,36,2.25,2.645925770879349,2.810405137513211,4.522394304328104,2.2698491015570217,0.6216017313660797,False,0.0051989785150333145
16,3,4,20,0,4,76,76,4.75,4.636774598372408,3.55202782858649,3.8314948665999253,1.9461475847144671,0.5735291732350788,False,0.0051989785150333145
16,3,4,20,1,4,76,76,4.75,2.591602736993747,3.2512644277699434,4.522394304328104,2.2698491015570217,0.6216017313660797,False,0.0051989785150333145
16,3,8,10,0,8,72,72,4.5,4.72310844927831,3.4172079727959224,3.8314948665999253,1.9461475847144671,0.5735291732350788,False,0.0051989785150333145
16,3,8,10,1,8,72,72,4.5,2.46295995772741,2.3638749629365474,4.522394304328104,2.2698491015570217,0.6216017313660797,False,0.0051989785150333145
16,3,8,20,0,8,150,152,9.5,5.02352365332265,3.7161053988401913,3.8314948665999253,1.9461475847144671,0.5735291732350788,False,0.0051989785150333145
16,3,8,20,1,8,150,152,9.5,2.3475104183298594,3.1933464844314883,4.522394304328104,2.2698491015570217,0.6216017313660797,False,0.0051989785150333145
16,3,16,10,0,16,144,144,9.0,4.121019608679876,3.4184136274713586,3.8314948665999253,1.9461475847144671,0.5735291732350788,False,0.0051989785150333145
16,3,16,10,1,16,144,144,9.0,2.565663418929911,1.717399334509174,4.522394304328104,2.2698491015570217,0.6216017313660797,False,0.0051989785150333145
16,3,16,20,0,16,150,304,19.0,4.293362551899125,3.650432782074542,3.8314948665999253,1.9461475847144671,0.5735291732350788,False,0.0051989785150333145
16,3,16,20,1,16,150,304,19.0,2.5022923418454135,2.5572293896996237,4.522394304328104,2.2698491015570217,0.6216017313660797,False,0.0051989785150333145
16,3,32,10,0,32,150,288,18.0,4.327323970502858,3.516071017509443,3.8314948665999253,1.9461475847144671,0.5735291732350788,False,0.0051989785150333145
16,3,32,10,1,32,150,288,18.0,2.5819500888349105,2.549143179954952,4.522394304328104,2.2698491015570217,0.6216017313660797,False,0.0051989785150333145
16,3,32,20,0,32,150,608,38.0,4.269996466096848,3.784313666534116,3.8314948665999253,1.9461475847144671,0.5735291732350788,False,0.0051989785150333145
16,3,32,20,1,32,150,608,38.0,2.6164446140294886,3.898037834733643,4.522394304328104,2.2698491015570217,0.6216017313660797,False,0.0051989785150333145
16,3,acorr,10,0,1,9,9,0.5625,3.6898128124064273,2.440626868856052,3.8314948665999253,1.9461475847144671,0.5735291732350788,False,0.0051989785150333145
16,3,acorr,10,1,1,9,9,0.5625,2.7932596708455257,3.1951299058872418,4.522394304328104,2.2698491015570217,0.6216017313660797,False,0.0051989785150333145
16,3,acorr,20,0,1,19,19,1.1875,3.322773445432643,3.3418017344186595,3.8314948665999253,1.9461475847144671,0.5735291732350788,False,0.0051989785150333145
16,3,acorr,20,1,1,19,19,1.1875,2.428091870984562,4.083202781097326,4.522394304328104,2.2698491015570217,0.6216017313660797,False,0.0051989785150333145
16,4,1,10,0,1,9,9,0.5625,4.035802796372823,2.466626863959291,5.950020310904363,2.9422402634472613,0.5766402636753256,False,0.0037043469050268563
16,4,1,10,1,1,9,9,0.5625,4.094254263727876,2.4526285806039394,4.035825161721059,2.0542171861660594,0.5788572152676784,False,0.0037043469050268563
16,4,1,20,0,1,19,19,1.1875,4.45719940685145,3.637979929642864,5.950020310904363,2.9422402634472613,0.5766402636753256,False,0.0037043469050268563
