cfg_id,seed,k,observer,MG,error,roughness,theiler,functional_rank,functional_ratio,trajectory_rank,trajectory_pr,trajectory_ratio,update_rank,update_pr,update_ratio,mean_accuracy,min_accuracy,resonance_margin,window,cycles,max_E,kn,tau,eta
1,0,7,latent_fro,8.511437760187807,1.5114377601878068,1.2522925743945381,24,7,0.9973074486555935,7,6.62760454327197,0.7024562569969555,7,6.985826530088529,0.9289857102366653,0.9900000000000001,0.99,7.974367500662716e-06,4000,800.0,25,30,1,0.15
1,0,7,latent_projection,5.0502432712153285,-1.9497567287846715,1.0322862051023003,24,7,0.9973074486555935,7,6.62760454327197,0.7024562569969555,7,6.985826530088529,0.9289857102366653,0.9900000000000001,0.99,7.974367500662716e-06,4000,800.0,25,30,1,0.15
1,0,7,gradient_fro,9.719346200199727,2.719346200199727,1.675074317156879,24,7,0.9973074486555935,7,6.62760454327197,0.7024562569969555,7,6.985826530088529,0.9289857102366653,0.9900000000000001,0.99,7.974367500662716e-06,4000,800.0,25,30,1,0.15
1,0,7,gradient_projection,5.929056993657933,-1.070943006342067,1.187896931311007,24,7,0.9973074486555935,7,6.62760454327197,0.7024562569969555,7,6.985826530088529,0.9289857102366653,0.9900000000000001,0.99,7.974367500662716e-06,4000,800.0,25,30,1,0.15
1,0,7,output_fro,5.45627767114221,-1.5437223288577897,1.1466543468614494,24,7,0.9973074486555935,7,6.62760454327197,0.7024562569969555,7,6.985826530088529,0.9289857102366653,0.9900000000000001,0.99,7.974367500662716e-06,4000,800.0,25,30,1,0.15
1,0,7,output_projection,5.097807185441148,-1.9021928145588518,1.073072645521911,24,7,0.9973074486555935,7,6.62760454327197,0.7024562569969555,7,6.985826530088529,0.9289857102366653,0.9900000000000001,0.99,7.974367500662716e-06,4000,800.0,25,30,1,0.15
1,0,7,loss,7.353916731981878,0.3539167319818777,1.8521188372573298,24,7,0.9973074486555935,7,6.62760454327197,0.7024562569969555,7,6.985826530088529,0.9289857102366653,0.9900000000000001,0.99,7.974367500662716e-06,4000,800.0,25,30,1,0.15
1,0,8,parameter_fro,5.575152193121157,-2.4248478068788426,1.0940477262981543,24,8,0.9928862306322108,8,7.417902217319995,0.6913777679721111,8,7.88198013965981,0.8253065450226642,0.9900000000000001,0.99,1.2049336797215204e-06,4000,800.0,25,30,1,0.15
1,0,8,parameter_projection,5.460899913074164,-2.5391000869258358,1.0481502101748181,24,8,0.9928862306322108,8,7.417902217319995,0.6913777679721111,8,7.88198013965981,0.8253065450226642,0.9900000000000001,0.99,1.2049336797215204e-06,4000,800.0,25,30,1,0.15
1,0,8,latent_fro,7.322328114459592,-0.6776718855404082,1.231408294886816,24,8,0.9928862306322108,8,7.417902217319995,0.6913777679721111,8,7.88198013965981,0.8253065450226642,0.9900000000000001,0.99,1.2049336797215204e-06,4000,800.0,25,30,1,0.15
1,0,8,latent_projection,5.606669352350484,-2.393330647649516,1.0707881466669484,24,8,0.9928862306322108,8,7.417902217319995,0.6913777679721111,8,7.88198013965981,0.8253065450226642,0.9900000000000001,0.99,1.2049336797215204e-06,4000,800.0,25,30,1,0.15
1,0,8,gradient_fro,10.324755538330994,2.3247555383309937,1.6403653908057643,24,8,0.9928862306322108,8,7.417902217319995,0.6913777679721111,8,7.88198013965981,0.8253065450226642,0.9900000000000001,0.99,1.2049336797215204e-06,4000,800.0,25,30,1,0.15
1,0,8,gradient_projection,5.22980270352237,-2.7701972964776296,1.0701031365529892,24,8,0.9928862306322108,8,7.417902217319995,0.6913777679721111,8,7.88198013965981,0.8253065450226642,0.9900000000000001,0.99,1.2049336797215204e-06,4000,800.0,25,30,1,0.15
1,0,8,output_fro,5.611694452407299,-2.388305547592701,1.1444959765723945,24,8,0.9928862306322108,8,7.417902217319995,0.6913777679721111,8,7.88198013965981,0.8253065450226642,0.9900000000000001,0.99,1.2049336797215204e-06,4000,800.0,25,30,1,0.15
1,0,8,output_projection,4.9626161587694995,-3.0373838412305005,1.0729506310893857,24,8,0.9928862306322108,8,7.417902217319995,0.6913777679721111,8,7.88198013965981,0.8253065450226642,0.9900000000000001,0.99,1.2049336797215204e-06,4000,800.0,25,30,1,0.15
1,0,8,loss,7.587943198741625,-0.41205680125837496,1.8438742340739762,24,8,0.9928862306322108,8,7.417902217319995,0.6913777679721111,8,7.88198013965981,0.8253065450226642,0.9900000000000001,0.99,1.2049336797215204e-06,4000,800.0,25,30,1,0.15
2,0,2,parameter_fro,2.6156897388683604,0.6156897388683604,1.3751604789853438,48,2,0.9994959708645321,2,1.9966120501636038,0.9596216812271415,2,1.9353602107481909,0.8312444883292797,0.99,0.99,0.00212413854328819,5000,1200.0,25,40,2,0.12
2,0,2,parameter_projection,1.856866264425141,-0.14313373557485898,1.513766771377485,48,2,0.9994959708645321,2,1.9966120501636038,0.9596216812271415,2,1.9353602107481909,0.8312444883292797,0.99,0.99,0.00212413854328819,5000,1200.0,25,40,2,0.12
2,0,2,latent_fro,2.344997919867184,0.344997919867184,1.4731141282460256,48,2,0.9994959708645321,2,1.9966120501636038,0.9596216812271415,2,1.9353602107481909,0.8312444883292797,0.99,0.99,0.00212413854328819,5000,1200.0,25,40,2,0.12
2,0,2,latent_projection,1.8690182041379069,-0.13098179586209313,1.3146141817730381,48,2,0.9994959708645321,2,1.9966120501636038,0.9596216812271415,2,1.9353602107481909,0.8312444883292797,0.99,0.99,0.00212413854328819,5000,1200.0,25,40,2,0.12
